Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.000000	0.0783425 	4.000000	0.0831452 	4.000000	0.0860435 	4.000000	0.0860435 	4.000000	0.0831013 	4.000000	4.3935e-05	
4.500000	0.0714933 	4.500000	0.0759291 	4.500000	0.0785631 	4.500000	0.0785631 	4.500000	0.0758895 	4.500000	3.95649e-05	
5.000000	0.0658281 	5.000000	0.06995   	5.000000	0.0723606 	5.000000	0.0723606 	5.000000	0.069914  	5.000000	3.60203e-05	
5.500000	0.0610583 	5.500000	0.0649075 	5.500000	0.0671269 	5.500000	0.0671269 	5.500000	0.0648744 	5.500000	3.30844e-05	
6.000000	0.056983  	6.000000	0.0605922 	6.000000	0.0626465 	6.000000	0.0626465 	6.000000	0.0605616 	6.000000	3.06108e-05	
6.500000	0.0534578 	6.500000	0.0568538 	6.500000	0.0587641 	6.500000	0.0587641 	6.500000	0.0568253 	6.500000	2.84969e-05	
7.000000	0.0503763 	7.000000	0.053581  	7.000000	0.0553648 	7.000000	0.0553648 	7.000000	0.0535544 	7.000000	2.66683e-05	
7.500000	0.0476579 	7.500000	0.05069   	7.500000	0.0523616 	7.500000	0.0523616 	7.500000	0.0506649 	7.500000	2.50702e-05	
8.000000	0.0452408 	8.000000	0.048116  	8.000000	0.0496877 	8.000000	0.0496877 	8.000000	0.0480923 	8.000000	2.3661e-05	
8.500000	0.0430766 	8.500000	0.0458084 	8.500000	0.0472905 	8.500000	0.0472905 	8.500000	0.045786  	8.500000	2.24086e-05	
9.000000	0.0411268 	9.000000	0.0437268 	9.000000	0.0451282 	9.000000	0.0451282 	9.000000	0.0437055 	9.000000	2.12878e-05	
9.500000	0.0393604 	9.500000	0.0418389 	9.500000	0.0431672 	9.500000	0.0431672 	9.500000	0.0418186 	9.500000	2.02786e-05	
10.000000	0.0377522 	10.000000	0.0419308 	10.000000	0.0413799 	10.000000	0.0413799 	10.000000	0.0419114 	10.000000	1.93649e-05	
