Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
5.500000	0.034124	5.500000	0.0385172	5.500000	0.0395525	5.500000	0.0395525	5.500000	0.0384959	5.500000	2.13095e-05	
6.000000	0.0318454	6.000000	0.0358894	6.000000	0.0368872	6.000000	0.0368872	6.000000	0.0358697	6.000000	1.97118e-05	
6.500000	0.0298747	6.500000	0.0336213	6.500000	0.0345826	6.500000	0.0345826	6.500000	0.0336029	6.500000	1.83467e-05	
7.000000	0.0281521	7.000000	0.0316424	7.000000	0.0325685	7.000000	0.0325685	7.000000	0.0316252	7.000000	1.71662e-05	
7.500000	0.0266326	7.500000	0.0298995	7.500000	0.0307921	7.500000	0.0307921	7.500000	0.0298834	7.500000	1.61347e-05	
8.000000	0.0252817	8.000000	0.028352	8.000000	0.0292127	8.000000	0.0292127	8.000000	0.0283368	8.000000	1.52254e-05	
8.500000	0.0240721	8.500000	0.0269679	8.500000	0.0277985	8.500000	0.0277985	8.500000	0.0269535	8.500000	1.44173e-05	
9.000000	0.0229823	9.000000	0.025722	9.000000	0.0265242	9.000000	0.0265242	9.000000	0.0257083	9.000000	1.36943e-05	
9.500000	0.0219951	9.500000	0.0245942	9.500000	0.0253695	9.500000	0.0253695	9.500000	0.0245812	9.500000	1.30435e-05	
10.000000	0.0210963	10.000000	0.0242891	10.000000	0.024318	10.000000	0.024318	10.000000	0.0242767	10.000000	1.24543e-05	
11.000000	0.0195196	11.000000	0.0224851	11.000000	0.0224528	11.000000	0.0224541	11.000000	0.0224737	11.000000	1.14285e-05	
12.000000	0.0181806	12.000000	0.0209491	12.000000	0.0208714	12.000000	0.0208736	12.000000	0.0209385	12.000000	1.05651e-05	
13.000000	0.0170284	13.000000	0.0196247	13.000000	0.0195136	13.000000	0.019516	13.000000	0.0196149	13.000000	9.82801e-06	
14.000000	0.0160259	14.000000	0.0184704	14.000000	0.0183348	14.000000	0.0183371	14.000000	0.0184612	14.000000	9.191e-06	
15.000000	0.0151451	15.000000	0.0174548	15.000000	0.0173013	15.000000	0.0173036	15.000000	0.0174462	15.000000	8.63474e-06	
16.000000	0.0143647	16.000000	0.016554	16.000000	0.016388	16.000000	0.0163902	16.000000	0.0165458	16.000000	8.1446e-06	
17.000000	0.0136683	17.000000	0.0157492	17.000000	0.0155754	17.000000	0.0155773	17.000000	0.0157415	17.000000	7.70929e-06	
18.000000	0.0130426	18.000000	0.0150257	18.000000	0.0148477	18.000000	0.0148492	18.000000	0.0150184	18.000000	7.31999e-06	
19.000000	0.0124774	19.000000	0.0143715	19.000000	0.0141924	19.000000	0.0141935	19.000000	0.0143646	19.000000	6.96966e-06	
20.000000	0.011964	20.000000	0.013777	20.000000	0.0135989	20.000000	0.0136 	20.000000	0.0137704	20.000000	6.65267e-06	
21.000000	0.0114955	21.000000	0.0132343	21.000000	0.0130593	21.000000	0.0130604	21.000000	0.0132279	21.000000	6.3644e-06	
22.000000	0.0110661	22.000000	0.0127367	22.000000	0.0125671	22.000000	0.012568	22.000000	0.0127306	22.000000	6.10108e-06	
23.000000	0.0106712	23.000000	0.0122787	23.000000	0.0121166	23.000000	0.0121169	23.000000	0.0122729	23.000000	5.85954e-06	
24.000000	0.0103065	24.000000	0.0118558	24.000000	0.0117027	24.000000	0.0117023	24.000000	0.0118502	24.000000	5.63717e-06	
25.000000	0.00996874	25.000000	0.011464	25.000000	0.0113211	25.000000	0.0113202	25.000000	0.0114586	25.000000	5.43173e-06	
27.000000	0.00936259	27.000000	0.0107608	27.000000	0.010642	27.000000	0.0106397	27.000000	0.0107557	27.000000	5.06438e-06	
29.000000	0.00883386	29.000000	0.0101472	29.000000	0.0100557	29.000000	0.0100528	29.000000	0.0101425	29.000000	4.74537e-06	
31.000000	0.00836837	31.000000	0.00960707	31.000000	0.00953548	31.000000	0.00953248	31.000000	0.0096026	31.000000	4.46563e-06	
33.000000	0.0079552	33.000000	0.00912768	33.000000	0.00906621	33.000000	0.00906228	33.000000	0.00912346	33.000000	4.21825e-06	
35.000000	0.00758586	35.000000	0.00869922	35.000000	0.00864535	35.000000	0.00864162	35.000000	0.00869522	35.000000	3.99785e-06	
38.000000	0.00709962	38.000000	0.00813536	38.000000	0.0080917	38.000000	0.00808736	38.000000	0.00813165	38.000000	3.7088e-06	
41.000000	0.00667962	41.000000	0.00764857	41.000000	0.00761264	41.000000	0.00760821	41.000000	0.00764511	41.000000	3.46018e-06	
44.000000	0.00631295	44.000000	0.00722389	44.000000	0.00719355	44.000000	0.00718963	44.000000	0.00722064	44.000000	3.24396e-06	
47.000000	0.00598987	47.000000	0.00684998	47.000000	0.0068251	47.000000	0.00682065	47.000000	0.00684693	47.000000	3.05413e-06	
50.000000	0.00570292	50.000000	0.00651816	50.000000	0.0064973	50.000000	0.0064928	50.000000	0.00651527	50.000000	2.88608e-06	
55.000000	0.00528958	55.000000	0.00604078	55.000000	0.00602535	55.000000	0.00602046	55.000000	0.00603813	55.000000	2.64499e-06	
60.000000	0.00494059	60.000000	0.00563837	60.000000	0.00562614	60.000000	0.00562164	60.000000	0.00563593	60.000000	2.44238e-06	
65.000000	0.00464175	65.000000	0.00529438	65.000000	0.00528482	65.000000	0.0052802	65.000000	0.00529211	65.000000	2.26962e-06	
70.000000	0.00438276	70.000000	0.00499682	70.000000	0.00498912	70.000000	0.00498443	70.000000	0.0049947	70.000000	2.1205e-06	
75.000000	0.004156	75.000000	0.00473677	75.000000	0.00472995	75.000000	0.00472564	75.000000	0.00473478	75.000000	1.99043e-06	
80.000000	0.00395568	80.000000	0.0045075	80.000000	0.00450191	80.000000	0.00449722	80.000000	0.00450563	80.000000	1.87594e-06	
85.000000	0.00377735	85.000000	0.00430379	85.000000	0.00429851	85.000000	0.00429406	85.000000	0.00430202	85.000000	1.77434e-06	
90.000000	0.00361749	90.000000	0.00412155	90.000000	0.00411641	90.000000	0.00411215	90.000000	0.00411986	90.000000	1.68357e-06	
95.000000	0.00347332	95.000000	0.00395752	95.000000	0.00395284	95.000000	0.00394829	95.000000	0.00395592	95.000000	1.60195e-06	
100.000000	0.00334257	100.000000	0.00380907	100.000000	0.00380425	100.000000	0.00379989	100.000000	0.00380755	100.000000	1.52815e-06	
105.000000	0.00322342	105.000000	0.00367407	105.000000	0.00366902	105.000000	0.00366484	105.000000	0.00367261	105.000000	1.46108e-06	
110.000000	0.00311436	110.000000	0.00355076	110.000000	0.00354538	110.000000	0.00354141	110.000000	0.00354936	110.000000	1.39986e-06	
115.000000	0.00301412	115.000000	0.00343765	115.000000	0.00343226	115.000000	0.00342814	115.000000	0.00343631	115.000000	1.34375e-06	
120.000000	0.00292165	120.000000	0.00333353	120.000000	0.00332802	120.000000	0.00332382	120.000000	0.00333224	120.000000	1.29211e-06	
125.000000	0.00283606	125.000000	0.00323736	125.000000	0.00323141	125.000000	0.00322743	125.000000	0.00323612	125.000000	1.24444e-06	
130.000000	0.00275658	130.000000	0.00314826	130.000000	0.00314195	130.000000	0.00313808	130.000000	0.00314706	130.000000	1.20028e-06	
135.000000	0.00268258	135.000000	0.00306546	135.000000	0.00305908	135.000000	0.00305504	135.000000	0.0030643	135.000000	1.15926e-06	
140.000000	0.00261348	140.000000	0.00298831	140.000000	0.0029817	140.000000	0.00297765	140.000000	0.00298719	140.000000	1.12104e-06	
145.000000	0.00254881	145.000000	0.00291626	145.000000	0.00290925	145.000000	0.00290535	145.000000	0.00291518	145.000000	1.08536e-06	
150.000000	0.00248814	150.000000	0.00284881	150.000000	0.00284146	150.000000	0.00283765	150.000000	0.00284776	150.000000	1.05195e-06	
155.000000	0.00240272	155.000000	0.00278553	155.000000	0.00277781	155.000000	0.00277413	155.000000	0.00278451	155.000000	1.02062e-06	
160.000000	0.00235265	160.000000	0.00272605	160.000000	0.00271806	160.000000	0.00271442	160.000000	0.00272506	160.000000	9.9116e-07	
165.000000	0.00230544	165.000000	0.00267003	165.000000	0.00266196	165.000000	0.00265817	165.000000	0.00266907	165.000000	9.63414e-07	
170.000000	0.00226083	170.000000	0.00261717	170.000000	0.0026089	170.000000	0.0026051	170.000000	0.00261624	170.000000	9.37235e-07	
175.000000	0.00221863	175.000000	0.00256722	175.000000	0.00255863	175.000000	0.00255495	175.000000	0.00256631	175.000000	9.1249e-07	
180.000000	0.00217863	180.000000	0.00251994	180.000000	0.00251108	180.000000	0.00250748	180.000000	0.00251905	180.000000	8.89065e-07	
185.000000	0.00214068	185.000000	0.00247513	185.000000	0.002466	185.000000	0.00246248	185.000000	0.00247426	185.000000	8.66855e-07	
190.000000	0.0021046	190.000000	0.00243258	190.000000	0.00242319	190.000000	0.00241976	190.000000	0.00243174	190.000000	8.45766e-07	
195.000000	0.00207027	195.000000	0.00239215	195.000000	0.00238261	195.000000	0.00237917	195.000000	0.00239132	195.000000	8.25715e-07	
200.000000	0.00203756	200.000000	0.00235366	200.000000	0.00234408	200.000000	0.00234053	200.000000	0.00235285	200.000000	8.06627e-07	
210.000000	0.00197655	210.000000	0.00228201	210.000000	0.0022721	210.000000	0.00226861	210.000000	0.00228124	210.000000	7.71069e-07	
220.000000	0.0019208	220.000000	0.00221667	220.000000	0.00220641	220.000000	0.00220305	220.000000	0.00221593	220.000000	7.38616e-07	
230.000000	0.00186964	230.000000	0.00215684	230.000000	0.00214627	230.000000	0.00214304	230.000000	0.00215613	230.000000	7.08876e-07	
240.000000	0.00182252	240.000000	0.00210187	240.000000	0.00209123	240.000000	0.00208791	240.000000	0.00210118	240.000000	6.81517e-07	
250.000000	0.00177899	250.000000	0.00205117	250.000000	0.00204042	250.000000	0.0020371	250.000000	0.00205052	250.000000	6.56261e-07	
260.000000	0.00173864	260.000000	0.00200429	260.000000	0.00199334	260.000000	0.00199012	260.000000	0.00200365	260.000000	6.32872e-07	
270.000000	0.00170114	270.000000	0.00196079	270.000000	0.0019497	270.000000	0.00194657	270.000000	0.00196018	270.000000	6.11149e-07	
280.000000	0.0016662	280.000000	0.00192035	280.000000	0.00190914	280.000000	0.00190609	280.000000	0.00191976	280.000000	5.90917e-07	
290.000000	0.00163356	290.000000	0.00188264	290.000000	0.00187151	290.000000	0.00186837	290.000000	0.00188207	290.000000	5.72026e-07	
300.000000	0.00160301	300.000000	0.0018474	300.000000	0.0018363	300.000000	0.00183315	300.000000	0.00184685	300.000000	5.54346e-07	
310.000000	0.00157434	310.000000	0.00181441	310.000000	0.00180324	310.000000	0.00180018	310.000000	0.00181387	310.000000	5.37763e-07	
