Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
3.000000	0.0226458 	3.000000	0.0198004 	3.000000	0.0199861 	3.000000	0.0199861 	3.000000	0.0197886 	3.000000	1.17151e-05	
3.500000	0.0201495 	3.500000	0.0177559 	3.500000	0.0179258 	3.500000	0.0179258 	3.500000	0.0177456 	3.500000	1.02405e-05	
4.000000	0.0181849 	4.000000	0.0161419 	4.000000	0.0162955 	4.000000	0.0162955 	4.000000	0.0161328 	4.000000	9.11125e-06	
4.500000	0.016595  	4.500000	0.0148309 	4.500000	0.014969  	4.500000	0.014969  	4.500000	0.0148227 	4.500000	8.21713e-06	
5.000000	0.01528   	5.000000	0.0137421 	5.000000	0.0138659 	5.000000	0.0138659 	5.000000	0.0137346 	5.000000	7.4906e-06	
5.500000	0.0141729 	5.500000	0.0128214 	5.500000	0.0129323 	5.500000	0.0129323 	5.500000	0.0128145 	5.500000	6.88792e-06	
6.000000	0.0132269 	6.000000	0.0120313 	6.000000	0.0121305 	6.000000	0.0121305 	6.000000	0.0120249 	6.000000	6.37944e-06	
6.500000	0.0124086 	6.500000	0.0113448 	6.500000	0.0114337 	6.500000	0.0114337 	6.500000	0.0113389 	6.500000	5.94434e-06	
7.000000	0.0116933 	7.000000	0.0107421 	7.000000	0.0108216 	7.000000	0.0108216 	7.000000	0.0107366 	7.000000	5.56757e-06	
7.500000	0.0110623 	7.500000	0.0102082 	7.500000	0.0102792 	7.500000	0.0102792 	7.500000	0.0102029 	7.500000	5.23796e-06	
8.000000	0.0105013 	8.000000	0.00973136	8.000000	0.00979487	8.000000	0.00979487	8.000000	0.00972642	8.000000	4.94703e-06	
8.500000	0.00999894	8.500000	0.00930268	8.500000	0.00935934	8.500000	0.00935934	8.500000	0.009298  	8.500000	4.68825e-06	
9.000000	0.00954635	9.000000	0.0089149 	9.000000	0.00896536	9.000000	0.00896536	9.000000	0.00891045	9.000000	4.45648e-06	
9.500000	0.00913633	9.500000	0.00856221	9.500000	0.00860703	9.500000	0.00860703	9.500000	0.00855797	9.500000	4.24764e-06	
10.000000	0.00876303	10.000000	0.00827698	10.000000	0.00827956	10.000000	0.00827956	10.000000	0.00827292	10.000000	4.05842e-06	
11.000000	0.00810814	11.000000	0.00770136	11.000000	0.00768819	11.000000	0.00768826	11.000000	0.00769763	11.000000	3.72862e-06	
12.000000	0.00755197	12.000000	0.00720554	12.000000	0.00718162	12.000000	0.00718177	12.000000	0.00720209	12.000000	3.45066e-06	
13.000000	0.00707339	13.000000	0.00677394	13.000000	0.00674235	13.000000	0.00674244	13.000000	0.00677073	13.000000	3.21303e-06	
14.000000	0.00665695	14.000000	0.00639479	14.000000	0.00635729	14.000000	0.00635728	14.000000	0.00639178	14.000000	3.00744e-06	
15.000000	0.00629108	15.000000	0.00605899	15.000000	0.00601648	15.000000	0.00601649	15.000000	0.00605617	15.000000	2.82773e-06	
16.000000	0.00596693	16.000000	0.00575946	16.000000	0.00571261	16.000000	0.00571254	16.000000	0.00575679	16.000000	2.66922e-06	
17.000000	0.00567764	17.000000	0.00549055	17.000000	0.00543986	17.000000	0.00543955	17.000000	0.00548802	17.000000	2.52831e-06	
18.000000	0.00541777	18.000000	0.00524775	18.000000	0.00519328	18.000000	0.00519286	18.000000	0.00524535	18.000000	2.4022e-06	
19.000000	0.00518296	19.000000	0.0050274 	19.000000	0.00496912	19.000000	0.00496871	19.000000	0.00502511	19.000000	2.28862e-06	
20.000000	0.0049697 	20.000000	0.00482648	20.000000	0.00476448	20.000000	0.00476405	20.000000	0.0048243 	20.000000	2.18577e-06	
