Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
5.500000	0.0660007	5.500000	0.0577755	5.500000	0.0575935	5.500000	0.0575935	5.500000	0.0577443	5.500000	3.12405e-05	
6.000000	0.0615936	6.000000	0.0540824	6.000000	0.0538617	6.000000	0.0538617	6.000000	0.0540535	6.000000	2.89221e-05	
6.500000	0.057782	6.500000	0.050884	6.500000	0.0506308	6.500000	0.0506308	6.500000	0.0508571	6.500000	2.69393e-05	
7.000000	0.0544502	7.000000	0.0480843	7.000000	0.0478036	7.000000	0.0478036	7.000000	0.0480591	7.000000	2.52231e-05	
7.500000	0.0515114	7.500000	0.0456108	7.500000	0.0453069	7.500000	0.0453069	7.500000	0.0455871	7.500000	2.37223e-05	
8.000000	0.0488984	8.000000	0.0434079	8.000000	0.0430843	8.000000	0.0430843	8.000000	0.0433855	8.000000	2.23982e-05	
8.500000	0.0465588	8.500000	0.0414319	8.500000	0.0410915	8.500000	0.0410915	8.500000	0.0414107	8.500000	2.12208e-05	
9.000000	0.0444511	9.000000	0.0396483	9.000000	0.0392935	9.000000	0.0392935	9.000000	0.0396282	9.000000	2.01667e-05	
9.500000	0.0425417	9.500000	0.0380293	9.500000	0.0376622	9.500000	0.0376622	9.500000	0.0380101	9.500000	1.92171e-05	
10.000000	0.0408034	10.000000	0.0367272	10.000000	0.0361746	10.000000	0.0361746	10.000000	0.0367088	10.000000	1.83571e-05	
11.000000	0.0377538	11.000000	0.0342126	11.000000	0.033569	11.000000	0.0335713	11.000000	0.0341957	11.000000	1.68585e-05	
12.000000	0.035164	12.000000	0.0320417	12.000000	0.0313528	12.000000	0.0313567	12.000000	0.0320261	12.000000	1.55961e-05	
13.000000	0.0329355	13.000000	0.0301483	13.000000	0.0294435	13.000000	0.0294479	13.000000	0.0301337	13.000000	1.45174e-05	
14.000000	0.0309964	14.000000	0.0284821	14.000000	0.0277801	14.000000	0.0277842	14.000000	0.0284685	14.000000	1.35845e-05	
15.000000	0.0292927	15.000000	0.0270042	15.000000	0.0263162	15.000000	0.0263203	15.000000	0.0269914	15.000000	1.27692e-05	
16.000000	0.0277834	16.000000	0.0256841	16.000000	0.0250176	16.000000	0.0250215	16.000000	0.0256721	16.000000	1.20504e-05	
17.000000	0.0264364	17.000000	0.0244976	17.000000	0.0238576	17.000000	0.023861	17.000000	0.0244862	17.000000	1.14116e-05	
18.000000	0.0252263	18.000000	0.0234252	18.000000	0.0228148	18.000000	0.0228174	18.000000	0.0234144	18.000000	1.08401e-05	
19.000000	0.024133	19.000000	0.0224509	19.000000	0.0218717	19.000000	0.0218736	19.000000	0.0224406	19.000000	1.03255e-05	
20.000000	0.02314	20.000000	0.0215618	20.000000	0.021014	20.000000	0.0210159	20.000000	0.021552	20.000000	9.85958e-06	
21.000000	0.0222339	21.000000	0.020747	21.000000	0.0202308	21.000000	0.0202329	21.000000	0.0207376	21.000000	9.43573e-06	
22.000000	0.0214035	22.000000	0.0199974	22.000000	0.0195136	22.000000	0.0195152	22.000000	0.0199884	22.000000	9.04839e-06	
23.000000	0.0206396	23.000000	0.0193055	23.000000	0.0188545	23.000000	0.018855	23.000000	0.0192968	23.000000	8.69296e-06	
24.000000	0.0199343	24.000000	0.0186646	24.000000	0.0182463	24.000000	0.0182456	24.000000	0.0186563	24.000000	8.3656e-06	
25.000000	0.019281	25.000000	0.0180694	25.000000	0.0176831	25.000000	0.0176815	25.000000	0.0180613	25.000000	8.06306e-06	
27.000000	0.0181086	27.000000	0.0169972	27.000000	0.0166746	27.000000	0.0166705	27.000000	0.0169897	27.000000	7.52181e-06	
29.000000	0.017086	29.000000	0.0160581	29.000000	0.015796	29.000000	0.0157909	29.000000	0.016051	29.000000	7.05149e-06	
31.000000	0.0161856	31.000000	0.0152283	31.000000	0.0150057	31.000000	0.0150003	31.000000	0.0152217	31.000000	6.63883e-06	
33.000000	0.0153865	33.000000	0.0144897	33.000000	0.0142869	33.000000	0.0142799	33.000000	0.0144834	33.000000	6.27371e-06	
35.000000	0.0146721	35.000000	0.0138277	35.000000	0.0136408	35.000000	0.0136341	35.000000	0.0138217	35.000000	5.94825e-06	
38.000000	0.0137317	38.000000	0.012954	38.000000	0.0127892	38.000000	0.0127814	38.000000	0.0129484	38.000000	5.52118e-06	
41.000000	0.0129194	41.000000	0.0121974	41.000000	0.0120504	41.000000	0.0120425	41.000000	0.0121922	41.000000	5.15361e-06	
44.000000	0.0122102	44.000000	0.0115356	44.000000	0.0114026	44.000000	0.0113956	44.000000	0.0115307	44.000000	4.83376e-06	
47.000000	0.0115853	47.000000	0.0109516	47.000000	0.0108323	47.000000	0.0108243	47.000000	0.010947	47.000000	4.5528e-06	
50.000000	0.0110303	50.000000	0.0104322	50.000000	0.0103238	50.000000	0.0103158	50.000000	0.0104279	50.000000	4.30395e-06	
55.000000	0.0102308	55.000000	0.00968344	55.000000	0.00959039	55.000000	0.00958163	55.000000	0.00967949	55.000000	3.94674e-06	
60.000000	0.00955582	60.000000	0.00905071	60.000000	0.00896842	60.000000	0.00896035	60.000000	0.00904706	60.000000	3.64634e-06	
65.000000	0.00897781	65.000000	0.00850872	65.000000	0.00843567	65.000000	0.0084274	65.000000	0.00850533	65.000000	3.39005e-06	
70.000000	0.00847688	70.000000	0.00803905	70.000000	0.00797332	70.000000	0.00796493	70.000000	0.00803588	70.000000	3.16871e-06	
75.000000	0.0080383	75.000000	0.007628	75.000000	0.00756736	75.000000	0.00755964	75.000000	0.00762502	75.000000	2.97554e-06	
80.000000	0.00765086	80.000000	0.00726511	80.000000	0.00720981	80.000000	0.0072014	80.000000	0.0072623	80.000000	2.80542e-06	
85.000000	0.00730594	85.000000	0.0069423	85.000000	0.00689036	85.000000	0.00688238	85.000000	0.00693965	85.000000	2.65441e-06	
90.000000	0.00699675	90.000000	0.00665323	90.000000	0.00660402	90.000000	0.0065964	90.000000	0.00665071	90.000000	2.51942e-06	
95.000000	0.00671789	95.000000	0.0063928	95.000000	0.00634667	95.000000	0.00633851	95.000000	0.0063904	95.000000	2.39801e-06	
100.000000	0.00646502	100.000000	0.00615693	100.000000	0.00611253	100.000000	0.00610472	100.000000	0.00615464	100.000000	2.28819e-06	
105.000000	0.00623457	105.000000	0.00594226	105.000000	0.00589928	105.000000	0.00589178	105.000000	0.00594007	105.000000	2.18836e-06	
110.000000	0.00602362	110.000000	0.00574603	110.000000	0.00570411	110.000000	0.005697	110.000000	0.00574394	110.000000	2.0972e-06	
115.000000	0.00582974	115.000000	0.00556595	115.000000	0.00552549	115.000000	0.00551811	115.000000	0.00556394	115.000000	2.01361e-06	
120.000000	0.00565089	120.000000	0.00540009	120.000000	0.00536078	120.000000	0.00535325	120.000000	0.00539815	120.000000	1.93668e-06	
125.000000	0.00548534	125.000000	0.00524681	125.000000	0.00520794	125.000000	0.00520081	125.000000	0.00524494	125.000000	1.86563e-06	
130.000000	0.00533163	130.000000	0.00510472	130.000000	0.00506636	130.000000	0.00505942	130.000000	0.00510292	130.000000	1.7998e-06	
135.000000	0.0051885	135.000000	0.00497263	135.000000	0.00493517	135.000000	0.00492793	135.000000	0.00497089	135.000000	1.73864e-06	
140.000000	0.00505486	140.000000	0.00484951	140.000000	0.00481259	140.000000	0.00480532	140.000000	0.00484783	140.000000	1.68165e-06	
145.000000	0.00492977	145.000000	0.00473448	145.000000	0.00469772	145.000000	0.00469072	145.000000	0.00473286	145.000000	1.62842e-06	
150.000000	0.00481243	150.000000	0.00462676	150.000000	0.00459019	150.000000	0.00458337	150.000000	0.00462518	150.000000	1.57858e-06	
155.000000	0.00464721	155.000000	0.00452567	155.000000	0.00448918	155.000000	0.0044826	155.000000	0.00452414	155.000000	1.53181e-06	
160.000000	0.00455037	160.000000	0.00443061	160.000000	0.00439435	160.000000	0.00438782	160.000000	0.00442913	160.000000	1.48784e-06	
165.000000	0.00445905	165.000000	0.00434106	165.000000	0.00430528	165.000000	0.00429851	165.000000	0.00433962	165.000000	1.44642e-06	
170.000000	0.00437278	170.000000	0.00425655	170.000000	0.004221	170.000000	0.00421421	170.000000	0.00425514	170.000000	1.40733e-06	
175.000000	0.00429115	175.000000	0.00417667	175.000000	0.0041411	175.000000	0.00413452	175.000000	0.0041753	175.000000	1.37037e-06	
180.000000	0.00421379	180.000000	0.00410103	180.000000	0.0040655	180.000000	0.00405906	180.000000	0.0040997	180.000000	1.33538e-06	
185.000000	0.00414038	185.000000	0.00402933	185.000000	0.00399381	185.000000	0.0039875	185.000000	0.00402802	185.000000	1.3022e-06	
190.000000	0.0040706	190.000000	0.00396124	190.000000	0.0039257	190.000000	0.00391957	190.000000	0.00395997	190.000000	1.27069e-06	
195.000000	0.0040042	195.000000	0.00389652	195.000000	0.00386114	195.000000	0.00385497	195.000000	0.00389528	195.000000	1.24073e-06	
200.000000	0.00394093	200.000000	0.00383491	200.000000	0.00379984	200.000000	0.00379349	200.000000	0.00383369	200.000000	1.2122e-06	
210.000000	0.00382294	210.000000	0.00372017	210.000000	0.00368524	210.000000	0.003679	210.000000	0.00371901	210.000000	1.15904e-06	
220.000000	0.0037151	220.000000	0.00361551	220.000000	0.00358059	220.000000	0.00357457	220.000000	0.0036144	220.000000	1.11051e-06	
230.000000	0.00361615	230.000000	0.00351965	230.000000	0.00348473	230.000000	0.00347895	230.000000	0.00351859	230.000000	1.06603e-06	
240.000000	0.00352502	240.000000	0.00343155	240.000000	0.00339702	240.000000	0.00339107	240.000000	0.00343052	240.000000	1.02509e-06	
250.000000	0.00344082	250.000000	0.00335029	250.000000	0.00331601	250.000000	0.00331006	250.000000	0.0033493	250.000000	9.87298e-07	
