Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
5.500000	0.110164	5.500000	0.0585228	5.500000	0.0582793	5.500000	0.0582793	5.500000	0.0584909	5.500000	3.19262e-05	
6.000000	0.102808	6.000000	0.0551958	6.000000	0.0549009	6.000000	0.0549009	6.000000	0.0551662	6.000000	2.96198e-05	
6.500000	0.0964458	6.500000	0.0522923	6.500000	0.0519546	6.500000	0.0519546	6.500000	0.0522646	6.500000	2.7642e-05	
7.000000	0.0908847	7.000000	0.0497327	7.000000	0.0493592	7.000000	0.0493592	7.000000	0.0497067	7.000000	2.59261e-05	
7.500000	0.0859794	7.500000	0.0474565	7.500000	0.0470529	7.500000	0.0470529	7.500000	0.0474321	7.500000	2.44223e-05	
8.000000	0.0816179	8.000000	0.0454169	8.000000	0.0449877	8.000000	0.0449877	8.000000	0.0453938	8.000000	2.30929e-05	
8.500000	0.0777129	8.500000	0.043577	8.500000	0.0431259	8.500000	0.0431259	8.500000	0.0435551	8.500000	2.19086e-05	
9.000000	0.0741949	9.000000	0.0419072	9.000000	0.0414373	9.000000	0.0414373	9.000000	0.0418864	9.000000	2.08465e-05	
9.500000	0.0710079	9.500000	0.0403838	9.500000	0.0398977	9.500000	0.0398977	9.500000	0.0403639	9.500000	1.98883e-05	
10.000000	0.0681063	10.000000	0.0392455	10.000000	0.0384872	10.000000	0.0384872	10.000000	0.0392265	10.000000	1.90191e-05	
11.000000	0.0630161	11.000000	0.0369905	11.000000	0.0360787	11.000000	0.036082	11.000000	0.036973	11.000000	1.75017e-05	
12.000000	0.0586934	12.000000	0.0349785	12.000000	0.0340023	12.000000	0.0340079	12.000000	0.0349622	12.000000	1.62202e-05	
13.000000	0.0549737	13.000000	0.0331776	13.000000	0.0321913	13.000000	0.0321976	13.000000	0.0331625	13.000000	1.51229e-05	
14.000000	0.0517371	14.000000	0.0315593	14.000000	0.0305952	14.000000	0.0306011	14.000000	0.0315451	14.000000	1.41719e-05	
15.000000	0.0488935	15.000000	0.0300988	15.000000	0.0291751	15.000000	0.0291809	15.000000	0.0300855	15.000000	1.33394e-05	
16.000000	0.0463742	16.000000	0.0287751	16.000000	0.0279024	16.000000	0.0279081	16.000000	0.0287625	16.000000	1.26042e-05	
17.000000	0.0441259	17.000000	0.0275705	17.000000	0.0267547	17.000000	0.0267597	17.000000	0.0275586	17.000000	1.19498e-05	
18.000000	0.0421061	18.000000	0.02647	18.000000	0.0257138	18.000000	0.0257175	18.000000	0.0264586	18.000000	1.13635e-05	
19.000000	0.0402813	19.000000	0.0254608	19.000000	0.0247641	19.000000	0.0247669	19.000000	0.02545	19.000000	1.08349e-05	
20.000000	0.0386238	20.000000	0.0245322	20.000000	0.0238929	20.000000	0.0238957	20.000000	0.0245218	20.000000	1.03558e-05	
21.000000	0.0371114	21.000000	0.0236749	21.000000	0.0230899	21.000000	0.0230929	21.000000	0.023665	21.000000	9.91936e-06	
22.000000	0.0357253	22.000000	0.0228811	22.000000	0.0223489	22.000000	0.0223512	22.000000	0.0228716	22.000000	9.52011e-06	
23.000000	0.0344502	23.000000	0.022144	23.000000	0.0216642	23.000000	0.0216648	23.000000	0.0221348	23.000000	9.15338e-06	
24.000000	0.033273	24.000000	0.0214577	24.000000	0.0210276	24.000000	0.0210267	24.000000	0.0214489	24.000000	8.81529e-06	
25.000000	0.0321826	25.000000	0.0208172	25.000000	0.020434	25.000000	0.0204316	25.000000	0.0208087	25.000000	8.50255e-06	
27.000000	0.0302257	27.000000	0.0196561	27.000000	0.0193599	27.000000	0.019354	27.000000	0.0196482	27.000000	7.94233e-06	
29.000000	0.0285188	29.000000	0.0186314	29.000000	0.0184108	29.000000	0.0184035	29.000000	0.018624	29.000000	7.45474e-06	
31.000000	0.027016	31.000000	0.0177203	31.000000	0.0175431	31.000000	0.0175354	31.000000	0.0177133	31.000000	7.02632e-06	
