3.000000	0.00946338	3.000000	0.0109686	3.000000	0.0112171	3.000000	0.0112171	3.000000	0.0109629	3.000000	5.75089e-06	
3.500000	0.00842023	3.500000	0.00970484	3.500000	0.00996358	3.500000	0.00996358	3.500000	0.00969983	3.500000	5.01261e-06	
4.000000	0.00759922	4.000000	0.00871558	4.000000	0.00897929	4.000000	0.00897929	4.000000	0.00871113	4.000000	4.44915e-06	
4.500000	0.00693485	4.500000	0.00791864	4.500000	0.00818397	4.500000	0.00818397	4.500000	0.00791463	4.500000	4.00428e-06	
5.000000	0.00638533	5.000000	0.00726196	5.000000	0.00752676	5.000000	0.00752676	5.000000	0.00725831	5.000000	3.64369e-06	
5.500000	0.00592266	5.500000	0.00671088	5.500000	0.00697376	5.500000	0.00697376	5.500000	0.00670754	5.500000	3.34521e-06	
6.000000	0.00552735	6.000000	0.00624141	6.000000	0.00650147	6.000000	0.00650147	6.000000	0.00623832	6.000000	3.09386e-06	
6.500000	0.00518541	6.500000	0.00583636	6.500000	0.00609303	6.500000	0.00609303	6.500000	0.00583348	6.500000	2.87915e-06	
7.000000	0.0048865	7.000000	0.00548311	7.000000	0.00573603	7.000000	0.00573603	7.000000	0.00548041	7.000000	2.69352e-06	
7.500000	0.00462282	7.500000	0.00517214	7.500000	0.00542111	7.500000	0.00542111	7.500000	0.00516961	7.500000	2.53134e-06	
8.000000	0.00438836	8.000000	0.00489617	8.000000	0.0051411	8.000000	0.0051411	8.000000	0.00489378	8.000000	2.38838e-06	
8.500000	0.00417843	8.500000	0.0046495	8.500000	0.00489036	8.500000	0.00489036	8.500000	0.00464724	8.500000	2.26138e-06	
9.000000	0.0039893	9.000000	0.00442763	9.000000	0.00466443	9.000000	0.00466443	9.000000	0.00442549	9.000000	2.14775e-06	
9.500000	0.00381796	9.500000	0.00422694	9.500000	0.00445972	9.500000	0.00445972	9.500000	0.00422489	9.500000	2.04547e-06	
10.000000	0.00366196	10.000000	0.00418722	10.000000	0.00427332	10.000000	0.00427332	10.000000	0.00418527	10.000000	1.9529e-06	
11.000000	0.00338829	11.000000	0.00388008	11.000000	0.00394229	11.000000	0.00394233	11.000000	0.00387829	11.000000	1.79174e-06	
12.000000	0.00315587	12.000000	0.00361787	12.000000	0.00366172	12.000000	0.00366178	12.000000	0.00361621	12.000000	1.65614e-06	
13.000000	0.00295588	13.000000	0.00339127	13.000000	0.00342089	13.000000	0.00342092	13.000000	0.00338973	13.000000	1.54038e-06	
14.000000	0.00278185	14.000000	0.00319342	14.000000	0.00321188	14.000000	0.00321188	14.000000	0.00319198	14.000000	1.44036e-06	
15.000000	0.00262896	15.000000	0.00301909	15.000000	0.00302873	15.000000	0.00302874	15.000000	0.00301774	15.000000	1.35304e-06	
16.000000	0.00249351	16.000000	0.00286428	16.000000	0.00286701	16.000000	0.00286698	16.000000	0.00286301	16.000000	1.2761e-06	
17.000000	0.00237261	17.000000	0.00272584	17.000000	0.00272322	17.000000	0.00272309	17.000000	0.00272463	17.000000	1.20778e-06	
18.000000	0.00226402	18.000000	0.00260126	18.000000	0.00259447	18.000000	0.00259429	18.000000	0.00260012	18.000000	1.14668e-06	
19.000000	0.0021659	19.000000	0.00248854	19.000000	0.00247853	19.000000	0.00247836	19.000000	0.00248745	19.000000	1.09171e-06	
20.000000	0.00207678	20.000000	0.00238604	20.000000	0.00237365	20.000000	0.00237348	20.000000	0.002385	20.000000	1.04197e-06	
21.000000	0.00199545	21.000000	0.0022924	21.000000	0.00227837	21.000000	0.00227818	21.000000	0.0022914	21.000000	9.96747e-07	
22.000000	0.00192093	22.000000	0.00220651	22.000000	0.00219142	22.000000	0.00219124	22.000000	0.00220556	22.000000	9.55438e-07	
