Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
3.500000	6.55588e-05	3.500000	9.74885e-05	3.500000	9.53013e-05	3.500000	9.53013e-05	3.500000	9.74453e-05	3.500000	4.31975e-08	
4.000000	5.91584e-05	4.000000	8.73119e-05	4.000000	8.53147e-05	4.000000	8.53147e-05	4.000000	8.72736e-05	4.000000	3.82849e-08	
4.500000	5.39817e-05	4.500000	7.91656e-05	4.500000	7.73295e-05	4.500000	7.73295e-05	4.500000	7.91312e-05	4.500000	3.4413e-08	
5.000000	4.97011e-05	5.000000	7.24896e-05	5.000000	7.07923e-05	5.000000	7.07923e-05	5.000000	7.24583e-05	5.000000	3.12791e-08	
5.500000	4.60979e-05	5.500000	6.69134e-05	5.500000	6.53371e-05	5.500000	6.53371e-05	5.500000	6.68847e-05	5.500000	2.86884e-08	
6.000000	4.30198e-05	6.000000	6.21818e-05	6.000000	6.07119e-05	6.000000	6.07119e-05	6.000000	6.21553e-05	6.000000	2.65093e-08	
6.500000	4.03575e-05	6.500000	5.81132e-05	6.500000	5.67378e-05	6.500000	5.67378e-05	6.500000	5.80886e-05	6.500000	2.46498e-08	
7.000000	3.80305e-05	7.000000	5.45751e-05	7.000000	5.32838e-05	7.000000	5.32838e-05	7.000000	5.4552e-05	7.000000	2.30436e-08	
7.500000	3.59779e-05	7.500000	5.14679e-05	7.500000	5.02523e-05	7.500000	5.02523e-05	7.500000	5.14463e-05	7.500000	2.16416e-08	
8.000000	3.41529e-05	8.000000	4.8716e-05	8.000000	4.75686e-05	8.000000	4.75686e-05	8.000000	4.86956e-05	8.000000	2.04067e-08	
8.500000	3.25188e-05	8.500000	4.62605e-05	8.500000	4.51749e-05	8.500000	4.51749e-05	8.500000	4.62412e-05	8.500000	1.93104e-08	
9.000000	3.10467e-05	9.000000	4.40549e-05	9.000000	4.30255e-05	9.000000	4.30255e-05	9.000000	4.40365e-05	9.000000	1.83302e-08	
9.500000	2.97131e-05	9.500000	4.2062e-05	9.500000	4.10842e-05	9.500000	4.10842e-05	9.500000	4.20446e-05	9.500000	1.74485e-08	
10.000000	2.84989e-05	10.000000	3.54075e-05	10.000000	3.93213e-05	10.000000	3.93213e-05	10.000000	3.53909e-05	10.000000	1.6651e-08	
11.000000	2.6369e-05	11.000000	3.29804e-05	11.000000	3.61901e-05	11.000000	3.61918e-05	11.000000	3.29651e-05	11.000000	1.52637e-08	
12.000000	2.45601e-05	12.000000	3.08834e-05	12.000000	3.35449e-05	12.000000	3.35477e-05	12.000000	3.08693e-05	12.000000	1.40975e-08	
13.000000	2.30036e-05	13.000000	2.90533e-05	13.000000	3.12799e-05	13.000000	3.1283e-05	13.000000	2.90402e-05	13.000000	1.31029e-08	
14.000000	2.16493e-05	14.000000	2.74421e-05	14.000000	2.9318e-05	14.000000	2.93209e-05	14.000000	2.74298e-05	14.000000	1.22442e-08	
15.000000	2.04594e-05	15.000000	2.60124e-05	15.000000	2.76012e-05	15.000000	2.76042e-05	15.000000	2.60009e-05	15.000000	1.1495e-08	
16.000000	1.94052e-05	16.000000	2.47349e-05	16.000000	2.60864e-05	16.000000	2.60893e-05	16.000000	2.47241e-05	16.000000	1.08355e-08	
17.000000	1.84644e-05	17.000000	2.35864e-05	17.000000	2.47401e-05	17.000000	2.47425e-05	17.000000	2.35762e-05	17.000000	1.02501e-08	
18.000000	1.76192e-05	18.000000	2.2548e-05	18.000000	2.35356e-05	18.000000	2.35375e-05	18.000000	2.25383e-05	18.000000	9.727e-09	
19.000000	1.68556e-05	19.000000	2.16045e-05	19.000000	2.24517e-05	19.000000	2.24531e-05	19.000000	2.15953e-05	19.000000	9.25657e-09	
20.000000	1.61621e-05	20.000000	2.07433e-05	20.000000	2.14707e-05	20.000000	2.14721e-05	20.000000	2.07344e-05	20.000000	8.83117e-09	
21.000000	1.55292e-05	21.000000	1.99539e-05	21.000000	2.05792e-05	21.000000	2.05807e-05	21.000000	1.99454e-05	21.000000	8.44454e-09	
22.000000	1.49492e-05	22.000000	1.92276e-05	22.000000	1.97661e-05	22.000000	1.97673e-05	22.000000	1.92195e-05	22.000000	8.09155e-09	
23.000000	1.44156e-05	23.000000	1.8557e-05	23.000000	1.90219e-05	23.000000	1.90223e-05	23.000000	1.85492e-05	23.000000	7.76794e-09	
24.000000	1.3923e-05	24.000000	1.79359e-05	24.000000	1.8338e-05	24.000000	1.83376e-05	24.000000	1.79284e-05	24.000000	7.47015e-09	
25.000000	1.34667e-05	25.000000	1.73589e-05	25.000000	1.77075e-05	25.000000	1.77063e-05	25.000000	1.73517e-05	25.000000	7.19517e-09	
27.000000	1.26479e-05	27.000000	1.63195e-05	27.000000	1.65848e-05	27.000000	1.65819e-05	27.000000	1.63128e-05	27.000000	6.70379e-09	
29.000000	1.19336e-05	29.000000	1.54089e-05	29.000000	1.5615e-05	29.000000	1.56114e-05	29.000000	1.54026e-05	29.000000	6.27741e-09	
