0	1	0	180
0	1	180	360
1	2	0	45
1	2	45	90
1	2	90	135
1	2	135	180
1	2	180	225
1	2	225	270
1	2	270	315
1	2	315	360
2	3	0	45
2	3	45	90
2	3	90	135
2	3	135	180
2	3	180	225
2	3	225	270
2	3	270	315
2	3	315	360
3	4	0	45
3	4	45	90
3	4	90	135
3	4	135	180
3	4	180	225
3	4	225	270
3	4	270	315
3	4	315	360
4	5	0	45
4	5	45	90
4	5	90	135
4	5	135	180
4	5	180	225
4	5	225	270
4	5	270	315
4	5	315	360
5	6	0	45
5	6	45	90
5	6	90	135
5	6	135	180
5	6	180	225
5	6	225	270
5	6	270	315
5	6	315	360
6	7	0	45
6	7	45	90
6	7	90	135
6	7	135	180
6	7	180	225
6	7	225	270
6	7	270	315
6	7	315	360
7	8	0	45
7	8	45	90
7	8	90	135
7	8	135	180
7	8	180	225
7	8	225	270
7	8	270	315
7	8	315	360
8	10	0	90
8	10	90	180
8	10	180	270
8	10	270	360
10	12	0	90
10	12	90	180
10	12	180	270
10	12	270	360
12	14	0	90
12	14	90	180
12	14	180	270
12	14	270	360
14	16	0	90
14	16	90	180
14	16	180	270
14	16	270	360
16	18	0	90
16	18	90	180
16	18	180	270
16	18	270	360
18	20	0	90
18	20	90	180
18	20	180	270
18	20	270	360
20	22	0	90
20	22	90	180
20	22	180	270
20	22	270	360
22	24	0	90
22	24	90	180
22	24	180	270
22	24	270	360
